region,town,NOTday,notnight,name,Item 1,"PurchasePrice","Entreat Lv. Req",Information,Inquire lvl,Sh,Weakness,DELETE,DELETE,$,Str,Attack 1,Summonable #,Guide Lv.,Dance Session,DELETE,DELETE,DELETE,DELETE,DELETE,Item 2,"Purchase Price","EntreatLv. Req",DELETE,Bribe $,Learned Skills (Hikari),DELETE,Chal. Lv.,Ambush,Exp,DELETE,Attack 2,DELETE,Hire Cost,Merchant Talents,DELETE,DELETE,DELETE,DELETE,DELETE,Item 3,"Purchase Price","Entreat Lv. Req",DELETE,Coerce shield,Str,Hp,DELETE,DELETE,Jp,DELETE,Attack 3,DELETE,Befriend Req.,DELETE
Winterlands,Cape Cold,,,Flustered Villager,Warding Leaf,$95,Lv. 7,None,Lv. 5,2,,,,$50,X
Winterlands,Cape Cold,X,,Man,Heavy Coin Pouch,X,Lv. 26,"A Hidden Item: War Glaive",X,1,,,,$20,1*,Stand Ground,9,X,X,Winterlands,Cape Cold,,,,Gold Pocket Watch,X,Lv. 37,,"$1,000",X,,,Lv. 5,3 Exp,,Attack,,"$7,400",Financial Support,Winterlands,Cape Cold,,,,Old Locket,X,Lv. 7,,5 Shield,1*,280 Hp,,,2 Jp,,,,Jerky,Winterlands,Cape Cold,,,Boy,Candy,$10,Lv. 1,"A Hidden Item: Lily of the Light",Lv. 5,X,,,,,X
Winterlands,Cape Cold,,,Girl,Stuffed Toy,$95,Lv. 7,None,Lv. 1,X,,,,,X,Winterlands,Cape Cold,,,,Old Locket,$95,Lv. 7,,$50,Winterlands,Cape Cold,,,,,,,,X,Winterlands,Cape Cold,X,,Attendant,Round Shield,X,Lv. 3,Masterful Mugging,X,3,,,,$120,4*,Poison Arrow,8,X,X
Winterlands,Cape Cold,,,Villager,Broadsword,"$6,650",Lv. 19,None,Lv. 10,5,,,,?,,Level Slash,,Lv. 50,Warring Waltz,Winterlands,Cape Cold,,,,Fortifying Nut,$950,Lv. 20,,$300,,Level Slash,Lv. 25,Lv. 48,?,,?,,"$38,400",Hard Bargain,Winterlands,Cape Cold,,,,,,,,4 Shield,8*,"30,300 Hp",,,?,,,,Perfect Jerky,Winterlands,Cape Cold,,,Villager,Sprightly Earring,$266,Lv. 17,Discount at the Inn,Lv. 1,2,,,,$50,2*,Snowball Toss,9,Lv. 5,Raging Rondo
Winterlands,Cape Cold,,,Fisherman,Light Coin Pouch,$190,Lv. 10,More Plentiful Provisions,Lv. 10,3,,,,$120,4*,Befuddling Arrow,,Lv. 15,Wargod's Duet,Winterlands,Cape Cold,,,,Energizing Pomegranate,$285,Lv. 12,,$300,,Befuddling Arrow,Lv. 7,Lv. 18,80 Exp,,?,,"$6,400",Chivalry,Winterlands,Cape Cold,,,,,,,,4 Shield,4*,"2,816 Hp",,,15 Jp,,,,Snowy Stew x 5,Winterlands,Cape Cold,,,Elderly Fisherman,Buckler,$570,Lv. 11,None,Lv. 5,1,,,,$20,1*,Snowball Toss,9,Lv. 1,Psalm of Prayer
Winterlands,Cape Cold,,,Elderly Woman,Healing Grape (M),$50,Lv. 11,"A Hidden Item: Energizing Pomegranate",Lv. 15,1,,,,$20,1*,Ignition,9,Lv. 1,Gentle Rhythm,Winterlands,Cape Cold,,,,Inspiriting Plum Basket,$500,Lv. 25,,"$1,000",,Ignition,Lv. 1,Lv. 5,3 Exp,,?,,"$2,000",Haggler,Winterlands,Cape Cold,,,,,,,,5 Shield,1*,280 Hp,,,2 Jp,,,,Jerky,Winterlands,Cape Cold,,,Retired Scholar,Silver Quill,"$1,500",Lv. 25,"A Hidden Item: Magic Nut",Lv. 20,2,,,,$50,2*,Icewind,9,Lv. 5,Magic Melody
Winterlands,Eastern Cape Cold Snows,,,Peddler,Fire Soulstone,$665,Lv. 10,None,Lv. 5,3,,,,$80,3*,Soulstone Platter,8,Lv. 10,Fisher's Tune,Winterlands,Eastern Cape Cold Snows,,,,Enlightening Earring,$266,Lv. 17,,$100,,Soulstone Platter,Lv. 5,Lv. 12,30 Exp,,?,,"$3,600",Bargainer,Winterlands,Eastern Cape Cold Snows,,,,Olive of Life (M),"$2,850",Lv. 25,,3 Shield,3*,983 Hp,,,10 Jp,,,,Jerky x 5,Winterlands,Eastern Cape Cold Snows,,,Ruffian,Healing Grape Bunch,$684,Lv. 18,None,Lv. 10,2,,,,$50,X
Winterlands,Frigit Isle: Anchorage,,,Emerald,,,,None,Winterlands,Frigit Isle: Anchorage,Winterlands,Frigit Isle: Anchorage,Winterlands
Winterlands,Winterbloom,,,Elderly Man,Red Apple,$500,Lv. 20,"A Hidden Item: Pomegranate Leaf",Lv. 10,2,,,,$50,2*,Sweet Hard Cider,9,Lv. 5,Soothing Serenade,Winterlands,Winterbloom,,,,Ice Soulstone (M),"$1,615",Lv. 22,,$300,,Bludgeon,Lv. 3,Lv. 8,10 Exp,,?,,$600,Lucky Break,Winterlands,Winterbloom,,,,,,,,4 Shield,2*,605 Hp,,,5 Jp,,,,Jerky x 3,Winterlands,Winterbloom,,,Townsperson,Silver-Filled Pouch,"$5,320",Lv. 26,Easier Inquiries,Lv. 20,2,,,,$50,2*,Conserve Strength,9,Lv. 5,Hild's Hymn
Winterlands,Winterbloom,X,,Townsperson,Energizing Pomegranate,X,Lv. 12,Discount at the Inn,X,2,,,,$50,2*,Conserve Strength,9,Winterlands,Winterbloom,,,,Hairbrush,X,Lv. 12,,"$1,000",X,,,Lv. 8,10 Exp,,?,,"$2,400",Coy Wink,Winterlands,Winterbloom,,,,,,,,5 Shield,2*,605 Hp,,,5 Jp,,,,Jerky x 3,Winterlands,Winterbloom,,,Townsperson,Refined Sword,"$19,000",Lv. 33,None,Lv. 15,4,,,,$400,X
Winterlands,Winterbloom,X,,Girl,X,,,X,,X,,,,,X,Winterlands,Winterbloom,Winterlands,Winterbloom,Winterlands,Winterbloom,X,,Boy,X,,,X,,X,,,,,X
Winterlands,Winterbloom,,,Hunter,Knight's Greatbow,"$19,950",Lv. 32,"A Hidden Item: Beast Liver",Lv. 20,3,,,,$120,4*,Ensnaring Shot,8,Lv. 15,March of Accuracy,Winterlands,Winterbloom,,,,Jerky,$190,Lv. 10,,"$3,000",,Ensnaring Shot,Lv. 7,Lv. 18,80 Exp,,?,,"$7,400",Financial Support,Winterlands,Winterbloom,,,,Inspiriting Plum (M),$855,Lv. 18,,6 Shield,4*,"2,816 Hp",,,15 Jp,,,,Beast Liver,Winterlands,Winterbloom,,,Townsperson,Jerky,$190,Lv. 10,None,Lv. 10,3,,,,$80,3*,Panacea,8,Lv. 10,Psalm of Prayer
Winterlands,Winterbloom,,X,Soldier,Empowering Lychee,$285,X,None,Lv. 15,3,,,,$120,4*,Fireball,8,Lv. 15,Battle Ballad,Winterlands,Winterbloom,,,,Silver Hatchet,"$20,900",X,,X,,Twofold Thrust,Lv. 7,X,80 Exp,,?,,X,X,Winterlands,Winterbloom,,,,Horned Helm,"$4,750",X,,X,4*,"2,816 Hp",,,15 Jp,,,,X,Winterlands,Winterbloom,,,"Troubled Woman / Enthused Gardener",Energizing Pomegranate (M),$722,Lv. 18,None,Lv. 20,2,,,,$50,2*,Bottle of Befuddling Dust,9,Lv. 5,Inspiriting Rhythm
